question_id,db_id,question,option_a,option_b,option_c,option_d,option_e,correct_answer,explanation_TO_FILL
1244,327,Which of the following are benefits of running a database on amazon rds compared to an on premises database?,RDS backup are managed by AWS,RDS supports any relational database,RDs has no database engineer licensing costs.,RDS database compute capacity can be easily scaled.,,AC,
1294,328,What can be used to reduce the cost of running Amazon EC2 instances? (Select TWO ),Spot Instances for stateless and flexible workloads,Memory optimized instances for nigh-compute workloads,On-Demand Instances for high-cost and sustained workloads,Reserved Instances for sustained workloads,,AD,
1256,332,Which of the following are advantages of the AWS Cloud?,AWS manages the maintenance of the cloud infrastructure.,AWS manages the security of application built on AWS.,AWS manages capacity planning for physical servers.,AWS manages the development of applications on AWS.,,AC,
1351,338,A company needs to transfer a large volume of data from an -on-premises data center to the AWS Cloud. The company's internet connectivity is slow and unreliable . Which AWS service can facilitate this data transfer?,Amazon S3 Glacier,AW5 Snowball,AWS Storage Gateway,Amazon Elastic File System (Amazon EFS),,B,
1264,340,Which of the following are benefits of running a database on Amazon RDS compared to an onpremises database? (Select TWO ),RDS backups are managed by AWS,RDS supports any relational database,RDS has no database engine licensing costs,RDS database compote capacity can be easily scaled,,AB,
1267,341,Which of the following contribute to total cost of ownership of a workload running in the AWS Cloud? (Select TWO),Hardware maintenance,Power and cooling,Storage costs,Space foe data center,,CE,
1304,342,The AWS cost management tools give users the ability to do which of the following?,Terminate all AWS resources automatically if budget thresholds are exceeded.,"Break down AWS costs by day, service, and linked AWS account",Create budgets and receive notifications if current or forecasted usage exceeds the budgets.,"Switch automatically to Reserved Instances or Spot Instances, whichever is most cost-effective",,BC,
1306,343,What are the benefits of developing and running a new application in the AWS Cloud compared to on-premises? (Select TWO.),AWS automatically distributes the data globally for higher durability,AWS will take care of operating the application,AWS makes it easy to architect for high availability,AWS can easily accommodate application demand changes,,CD,
1268,344,The AWS Trusted Advisor checks include recommendations regarding which of the following? (Select TWO.),Information on Amazon S3 bucket permissions,AWS service outages,Multi-factor authentication enabled on the AWS account root user,Available software patches,,AD,
1271,345,Which tasks require using AWS account root user credentials? (Select TWO.),Creating an Amazon EC2 key pair,Removing an IAM user from the administrators group,Changing the AWS Support plan,Creating an Amazon CloudFront key pair,,CD,
1425,352,Which AWS service or tool should a company use to centrally request and track service limit increases?,AWS Config,Service Quotas,AWS Service Catalog,AWS Budgets,,D,
1282,354,Which of the following enable a company to reserve capacity on AWS? (Select TWO.),On-Demand Capacity Reservations,AWS services in scope,Zonal Reserved Instances,Savings Plans,,AD,
1287,355,Which features and benefits does the AWS Organizations provide? (Select TWO),Establishing real-time communications between members of an internal team,Facilitating the use of NoSQL databases,Providing automated security checks,Implementing consolidated billing,,DE,
1308,356,Which design principles are enabled by the AWS cloud to improve the operation of workloads?,Minimize upfront design,Loose coupling,Disposable resources,Server design and concurrency,,BE,
1310,357,Which AWS services or features help decrease network latency for a globally dispersed user base? (Select TWO.),Amazon VPC,Elastic Load Balancer,Amazon CloudFront,AWS Direct Connect,,CE,
1312,359,Which of the following are benefits of AWS Global Accelerator? (Select TWO.),Reduced cost to run services on AWS,Improved availability of applications deployed on AWS,Higher durability of data stored on AWS,Decreased latency to reach applications deployed on AWS,,BD,
1314,361,What credential components are required to gain programmatic access to an AWS account? (Select TWO.),An access key ID,A primary key,A secret access key,A user ID,,AC,
1318,365,AWS trusted advisor can monitor and provide advice on what characteristics of an AWS account?,Compliance with security best practices,Application performance,Network utilization,Cost optimization,,AD,
1319,366,When comparing AWS cloud with premises total cost of ownership which expenses must be considered?,Physical storage hardware,Operating system administration,Network infrastructure of data center,Project management,,AC,
1321,368,What are the market advantages of running workloads in the AWS cloud?,Less staff time is required to deploy new workloads,Increased time to market for new application features,Higher acquisition costs to support peak workloads,Increased productivity for application development teams,,AD,
1260,369,"A company would like to host its MySQL databases on AWS and maintain full control over the operating system, database installation, and configuration. Which AWS service should the company use to host the databases?",Amazon RDS,Amazon EC2,Amazon DynamoDB,Amazon Aurora,,B,
1334,370,A user an optimize Amazon EC2 costs by performing which of the following tasks? (Select TWO ),"Implementing Auto Scaling group-, to add and remove instances based on demand",Creating a policy to restrict IAM users from creating new instances,Setting a budget to limit spending on EC2 instances using AWS Budgets,Purchasing Reserved Instances,,AD,
1337,373,Which of the following are AWS compute services? (Select TWO.),Amazon Lightsail,AWS Systems Manager,AWS CloudFormation,AWS Batch,,AD,
