question,option_a,option_b,option_c,option_d,option_e,correct_answer,explanation,category
Who is responsible for information security?,Only the IT team,Only management,Every employee,Only auditors,,C,,ISMS Awareness
"Information security focuses only on technology, not people or processes.",True,False,,,,B,,ISMS Awareness
PCI - DSS stands for,Payment Card Industry Data Security S tandard,Pay Card Industry Data Security Standard,Payment Card Information Data Security Standard,Pay Card Information Data Security Standard,,A,,ISMS Awareness
Which of the following is not a Trust Services Criterion (TSC) in SOC 2?,Security,Availability,Confidentiality,Profitability,,D,,ISMS Awareness
While creating new documented information,It is essential that the document carries company logo as the watermark,"A copy of the new information must be created so that in case the information is destroyed by mistake, th e same can be recovered easily","It is mandatory to mark the information classification on the document, e.g., confidential, Internal Use , etc.",It is important to call the CISO to monitor the information creation from the information security perspective,,C,,ISMS Awareness
Which of the following is a direct effect of a security breach?,Increased system performance B) Data loss or theft,,Reduced electricity consumption,Improved employee morale,,B,,ISMS Awareness
"You receive an email from an unknown sender claiming to be from IT support, asking you to click a link to reset your password. What should you do?",Click the link to check what it is,Forward it to your colleagues for awareness,Report it to the IT/security team and delete it,Reply asking if it ’s genuine,,C,,ISMS Awareness
You’re working from a café using public Wi -Fi. What is the best way to protect organizational data?,Connect directly to public Wi -Fi,Use VPN and ensure no confidential data is visible,Disable firewall for faster internet,Share hotspot with othe rs,,B,,ISMS Awareness
"A person without a badge enters your office area, claiming to be from maintenance. What should you do?",Assume they ’re authorized and ignore,Escort them to your manager ’s cabin,Politely verify their identity or report to security,Let them proceed since they seem harmless,,C,,ISMS Awareness
You mistakenly send an internal confidential document to an external recipient. What should you do first?,Ignore; they may not notice,Inform the recipient to delete the email and notify ISMS i mmediately,Delete it from Sent Items,Wait until someone asks about it,,B,,ISMS Awareness
"You find a free tool online that would help in your work. Should you install it? A. Yes, if it helps productivity",,"No, unless approved by IT/security","Yes, if dow nloaded from a known website","Yes, if others use it too",,B,,ISMS Awareness
"If an employee is caught doing an offense like abusing the internet, he/she will instantly receive an I ncident report instead of a mere warning.",True,False,,,,A,,ISMS Awareness
What is social engineering?,A group planning for social activity in the organization,Creating a situation wherein a third party gains confidential information from you,The organization is planning an activity for the welfare of the neighborhood,None,,B,,ISMS Awareness
"Before leaving for the day, what should you ensure?",Leave system unlocked for updates,Clear desk of all confidential papers and lock system,Keep printed data for tomorrow,Keep system logged in for convenience ✅ Answer: B,,B,,ISMS Awareness
Your company laptop contai ning project data is stolen from your car. What should you do?,Try to locate it yourself,Inform the police only,Immediately report to IT/security team and management,Wait a day to see if it turns up ✅ Answer: C,,C,,ISMS Awareness
How often should you change your password as per ISMS best practices?,Only when you forget it,Every 45 days or as per organizational policy,Once a year,"Never, if it's strong Answer: B",,B,,ISMS Awareness
A colleague says they’ve never read the ISMS policy. What should you do?,Ignore —it’s n ot your responsibility,Remind them to review the ISMS awareness material or policy,Report them to HR,Share your copy with them ✅ Answer: B,,B,,ISMS Awareness
An employee leaves the company. What should be ensured as part of ISMS?,Leave access active for hando ver,Disable all system and physical access immediately,Wait for IT’s next monthly audit,Do nothing if they were trustworthy ✅ Answer: B,,B,,ISMS Awareness
A friend visits your office and wants to see your workspace. What should you do?,Allow them to enter freely,Get visitor pass and escort them,Let them wait in your cubicle,Give your badge temporarily ✅ Answer: B,,B,,ISMS Awareness
