id,question,option_a,option_b,option_c,option_d,option_e,correct_answer,explanation,category,difficulty_level,created_at
1240,How can a user achieve high availability for a web application hosted on AWS?,Use a Classic Load Balancer across multiple AWS Regions,Use an Application Load Balancer across multiple Availability Zones in one AWS Region,Set up automatic scaling and load balancing with another application instance running on premises,Use the AWS Region with the highest number of Availability Zones,,B,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:46:04.955236
1241,Which AWS service helps users create three-dimensional applications quickly without requiring any specialized programming or three-dimensional graphics expertise?,AWS RoboMaker,Amazon Rekognition,Amazon Sumerian,Amazon GameLift,,B,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:46:05.568261
1242,"A development learn wants to deploy multiple test environments for an application in a fast, repeatable manner. Which AWS service should the learn use?",Amazon EC2,AWS Cloudformation,Amazon QuickSight,Amazon Elastic Container Service (Amazon ECS),,D,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:46:05.936800
1243,A company uses AWS Direct Conned and wants to establish connectivity that spans VPCs across multiple AWS Regions. Which AWS service or feature should the company use to meet these requirements?,AWS Transit Gateway,AWS PrivateLink,Amazon Connect,Amazon Route 53,,C,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:46:06.288810
1244,Which of the following are benefits of running a database on amazon rds compared to an on premises database?,RDS backup are managed by AWS,RDS supports any relational database,RDs has no database engineer licensing costs.,RDS database compute capacity can be easily scaled.,,AC,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:46:06.590850
1245,Which duty is a responsibility of AWS under the AWS shared responsibility model?,Identity and access management,Server-side encryption (SSE),Firewall configuration,Maintaining physical hardware,,A,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:46:06.895856
1246,Which AWS service enables risk auditing of an AWS account by tracking and recording user actions and source IP addresses?,AWS X-Ray,AWS Shield,AWS Trusted Advisor,AWS CloudTrail,,D,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:46:07.204018
1247,"Where can a user receive help with deploying popular technologies based on AWS best practices, including architecture and deployment instructions?",Amazon QuickSight,AWS Artifact,AWS Config,AWS Quick Starts,,D,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:46:07.510032
1248,What is an advantage of deploying an application across multiple Availability Zones?,There is a lower risk of service failure if a natural disaster causes a service disruption in a given AWS Region,The application will have higher availability because it can withstand a service disruption in one Availability Zone,There will be better coverage as Availability Zones are geographical^ distant and can serve a wider area,There will be decreased application latency that will improve the user experience,,B,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:46:07.816778
1249,A company plans to create a data lake that uses Amazon S3. Which factor will have the MOST effect on cost?,The selection of S3 storage tiers,Charges to transfer existing data into Amazon S3,The addition of S3 bucket policies,S3 ingest fees for each request,,B,,AWS Cloud Practitioner,Intermediate,2025-10-06 20:46:08.123440
